Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Bentsen,Lloyd,Millard,Jr.,,02/11/1921,05/23/2006,M,U.S. Representative,Democrat,TX,15,12/04/1948,01/03/1955,Presbyterian,White,Professional degree,Business or banking,Law,,,,Air Force Reserve,Army Air Corps,Army Air Corps
Bilbo,Theodore,G.,,,10/13/1877,08/21/1947,M,U.S. Senator,Democrat,MS,,01/03/1945,08/21/1947,Not specified,White,Professional degree,Education,,,,,,,
Bishop,Cecil,William,,Runt,06/29/1890,09/21/1971,M,U.S. Representative,Republican,IL,25,01/03/1941,01/02/1947,Not specified,White,High School graduate,Misc.,Public service/politics,Sports,,,Did not serve,,
Bishop,Cecil,William,,Runt,06/29/1890,09/21/1971,M,U.S. Representative,Republican,IL,26,01/03/1947,01/03/1949,Not specified,White,High School graduate,Misc.,Public service/politics,Sports,,,Did not serve,,
Blackney,William,W.,,,08/28/1876,03/14/1963,M,U.S. Representative,Republican,MI,6,01/03/1945,01/03/1953,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Bland,Schuyler,Otis,,,05/04/1872,02/16/1950,M,U.S. Representative,Democrat,VA,1,07/02/1918,02/16/1950,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Blatnik,John,Anton,,,08/17/1911,12/17/1991,M,U.S. Representative,Democrat,MN,8,01/03/1947,01/03/1975,Roman Catholic,White,Bachelor's degree,Education,,,,,Army,,
Bloom,Sol,,,,03/09/1870,03/07/1949,M,U.S. Representative,Democrat,NY,20,01/30/1923,03/07/1949,Not specified,White,High School graduate,Business or banking,Construction/building trades,Real Estate,,,Naval Reserve-New York,,
Boggs,James,Caleb,,,05/15/1909,03/26/1993,M,U.S. Representative,Republican,DE,AL,01/03/1947,01/03/1953,Methodist,White,Professional degree,Law,,,,,Army,,
Boggs,Thomas,Hale,Sr.,,02/15/1914,01/03/1973,M,U.S. Representative,Democrat,LA,2,01/03/1947,01/03/1973,Roman Catholic,White,Bachelor's degree,Law,,,,,Navy Reserve,,
